"primary"	"secondary"	"symbol"
"649"	"FBgn0000567"	"CG32180"	"Eip74EF"
"650"	"FBgn0000568"	"CG8127"	"Eip75B"
"651"	"FBgn0000575"	"CG1007"	"emc"
"652"	"FBgn0000576"	"CG2988"	"ems"
"653"	"FBgn0000577"	"CG9015"	"en"
"654"	"FBgn0000578"	"CG15112"	"ena"
"655"	"FBgn0000579"	"CG17654"	"Eno"
"656"	"FBgn0000581"	"CG7776"	"E(Pc)"
"657"	"FBgn0000588"	"CG14941"	"esc"
"658"	"FBgn0000591"	"CG8365"	"E(spl)m8-HLH"
"659"	"FBgn0000592"	"CG6917"	"Est-6"
